// This research has made use of the NASA Exoplanet Archive, which is operated by the California Institute of Technology, under contract with the National Aeronautics and Space Administration under the Exoplanet Exploration Program.;;;;;;;;;;;;;
Identifier;Host Name;Orbital Period [days];Planet Density [g/cm**3];Distance [pc];Effective Temperature [K];Date of Last Update;Planet Name;Planet Mass [Earth mass];Planet Radius [Earth radii];Year of Discovery;Link to Exoplanet Encyclopaedia;HD Name;HIP Name
// Our solar systen:
mercury;;87,97;;;;;Mercury;0,055272764;0,382938314;;;;
venus;;224,7;;;;;Venus;0,8149928;0,949897975;;;;
earth;;365,26;;;;;Earth;1;1;;;;
mars;;686,98;;;;;Mars;0,107446167;0,532020091;;;;
jupiter;;4332,82;;;;;Jupiter;317,8225779;10,97331659;;;;
saturn;;10755,7;;;;;Saturn;95,16091223;9,140166379;;;;
uranus;;30687,15;;;;;Uranus;14,53568199;3,98085073;1781;;;
neptune;;60190,03;;;;;Neptune;17,14778474;3,864699419;1846;;;
// Other planets:
11_com_b;11 Com;326,03;;110,62;4742;14.05.2014;11 Com b;;;2007;http://exoplanet.eu/catalog/11_com_b/;HD 107383;HIP 60202
11_umi_b;11 UMi;516,22;;119,47;4340;14.05.2014;11 UMi b;;;2009;http://exoplanet.eu/catalog/11_umi_b/;HD 136726;HIP 74793
14_and_b;14 And;185,84;;76,39;4813;14.05.2014;14 And b;;;2008;http://exoplanet.eu/catalog/14_and_b/;HD 221345;HIP 116076
14_her_b;14 Her;1773,4;;18,15;5311;14.05.2014;14 Her b;;;2002;http://exoplanet.eu/catalog/14_her_b/;HD 145675;HIP 79248
16_cyg_b_b;16 Cyg B;798,5;;21,41;5674;10.09.2015;16 Cyg B b;;;1996;http://exoplanet.eu/catalog/16_cyg_b_b/;HD 186427;HIP 96901
18_del_b;18 Del;993,3;;73,1;4979;14.05.2014;18 Del b;;;2008;http://exoplanet.eu/catalog/18_del_b/;HD 199665;HIP 103527
1rxs_j160929_1_210524_b;1RXS J160929.1-210524;;;145;4060;01.04.2015;1RXS J160929.1-210524 b;3000;;2008;http://exoplanet.eu/catalog/1rxs1609_b/;;
24_sex_b;24 Sex;452,8;;74,79;5098;14.05.2014;24 Sex b;;;2010;http://exoplanet.eu/catalog/24_sex_b/;HD 90043;HIP 50887
24_sex_c;24 Sex;883;;74,79;5098;14.05.2014;24 Sex c;;;2010;http://exoplanet.eu/catalog/24_sex_c/;HD 90043;HIP 50887
2mass_j01225093_2439505_b;2MASS J01225093-2439505;;;36;3530;14.05.2014;2MASS J01225093-2439505 b;7786,5;;2013;http://exoplanet.eu/catalog/2m_0122-24_b/;;
